Date,Open,High,Low,Close,Adj Close,Volume
2020-10-23,19.0,20.299999,17.030001,18.120001,18.120001,2843500
2020-10-26,18.42,18.559999,16.971001,17.200001,17.200001,424100
2020-10-27,17.5,18.0,15.99,16.0,16.0,391700
2020-10-28,16.15,16.15,14.03,15.12,15.12,400000
2020-10-29,15.0,16.389999,15.0,16.0,16.0,492900
2020-10-30,16.450001,16.450001,15.0,15.98,15.98,243900
2020-11-02,16.0,16.190001,15.5,15.95,15.95,164900
2020-11-03,15.97,16.184999,15.51,15.85,15.85,95200
2020-11-04,15.99,16.709999,15.7,16.0,16.0,140200
2020-11-05,16.110001,16.48,15.9,16.0,16.0,182500
2020-11-06,16.17,16.18,15.37,15.98,15.98,99700
2020-11-09,16.24,16.24,15.65,15.9,15.9,122300
2020-11-10,15.89,16.129999,15.75,16.129999,16.129999,79300
2020-11-11,16.0,16.299999,15.79,16.049999,16.049999,74900
2020-11-12,16.040001,16.309999,15.75,15.91,15.91,58800
2020-11-13,15.95,16.23,15.9,16.059999,16.059999,79700
2020-11-16,16.07,16.309999,15.91,16.049999,16.049999,74000
2020-11-17,16.110001,17.459999,15.75,17.0,17.0,442200
2020-11-18,17.49,18.610001,17.107,17.559999,17.559999,258300
2020-11-19,17.0,17.99,17.0,17.43,17.43,93300
2020-11-20,17.52,17.709999,16.309999,16.93,16.93,72900
2020-11-23,17.5,17.74,16.709999,16.709999,16.709999,62200
2020-11-24,16.700001,17.9,16.49,17.42,17.42,97200
2020-11-25,17.690001,18.559999,17.360001,18.549999,18.549999,52100
2020-11-27,18.6,20.950001,18.6,20.950001,20.950001,133800
2020-11-30,20.879999,20.969999,18.73,20.200001,20.200001,228500
2020-12-01,20.26,21.040001,18.73,19.049999,19.049999,195100
2020-12-02,19.73,20.25,16.9,17.15,17.15,226600
2020-12-03,17.32,20.110001,17.27,19.82,19.82,89000
2020-12-04,20.049999,20.75,19.620001,20.200001,20.200001,99600
2020-12-07,20.459999,22.0,19.98,21.98,21.98,182700
2020-12-08,22.0,23.040001,21.33,22.030001,22.030001,153000
2020-12-09,22.030001,22.73,20.309999,20.610001,20.610001,90600
2020-12-10,20.809999,20.82,19.469999,20.120001,20.120001,34900
2020-12-11,20.0,23.040001,19.809999,22.98,22.98,79300
2020-12-14,22.040001,23.9,19.93,20.0,20.0,292800
2020-12-15,20.17,22.07,19.85,21.34,21.34,81700
2020-12-16,21.24,23.9,21.24,22.389999,22.389999,177300
2020-12-17,22.9,25.535,22.51,24.700001,24.700001,152100
2020-12-18,24.469999,28.264999,23.879999,25.879999,25.879999,1341100
2020-12-21,26.18,26.639999,22.82,23.799999,23.799999,231000
2020-12-22,24.219999,25.15,23.549999,24.73,24.73,241700
2020-12-23,24.74,24.98,23.690001,24.719999,24.719999,106300
2020-12-24,24.59,25.0,23.93,24.629999,24.629999,23100
2020-12-28,24.93,24.93,22.299999,22.65,22.65,95200
2020-12-29,22.780001,22.950001,21.879999,22.120001,22.120001,41400
2020-12-30,22.620001,22.620001,21.059999,21.290001,21.290001,51700
